"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.00000","2000","33640","Noraxon MR3 3.20.68","3.20.68","Kevin test","KEVIN","","","male","2025-07-17T16:09:36.565+08:00","EMG 2 channel recording-3"

"time","Activity","Marker","RT VMO (uV)","RT SEMITEND. (uV)"
0.32250,,,-5.214691054,5.185407033
0.32300,,,-5.214691054,5.185407033
0.32350,,,-5.519885462,4.26982381
0.32400,,,-6.740663093,2.438657364
0.32450,,,-7.656246316,0.3022965098
0.32500,,,-7.0458575,-0.002897897924
0.32550,,,-6.130274277,0.9126853252
0.32600,,,-6.130274277,1.523074141
0.32650,,,-6.740663093,1.523074141
0.32700,,,-6.130274277,1.828268548
0.32750,,,-3.383524608,3.049046179
0.32800,,,-0.0263861232,3.049046179
0.32850,,,1.499585915,2.133462956
0.32900,,,1.804780323,1.217879733
0.32950,,,0.8891970999,1.523074141
0.33000,,,0.5840026922,1.828268548
0.33050,,,1.804780323,1.217879733
0.33100,,,4.246335585,1.217879733
0.33150,,,6.382696439,2.743851771
0.33200,,,6.382696439,4.880212625
0.33250,,,5.161918808,5.795795848
0.33300,,,4.8567244,5.185407033
0.33350,,,5.467113215,4.575018218
0.33400,,,6.382696439,4.880212625
0.33450,,,6.687890846,5.795795848
0.33500,,,6.077502031,5.795795848
0.33550,,,5.467113215,4.880212625
0.33600,,,5.467113215,4.575018218
